|dog_x_positions|dog_y_positions
709|[143.56271468]|[233.70764167]
710|[144.76097318]|[232.80532434]
711|[144.76097318]|[232.80532434]
712|[144.76097318]|[232.80532434]
713|[144.76097318]|[232.80532434]
714|[144.78369656]|[231.30549647]
715|[144.78369656]|[231.30549647]
716|[143.61181152]|[230.36918165]
717|[143.61181152]|[230.36918165]
718|[143.30755017]|[228.90036409]
719|[143.00624138]|[227.430938]
720|[143.00624138]|[227.430938]
721|[142.43777264]|[226.04283019]
722|[142.43777264]|[226.04283019]
723|[141.79679933]|[224.68667636]
724|[141.79679933]|[224.68667636]
725|[141.08393828]|[223.36689262]
726|[140.48317295]|[221.99245418]
727|[140.48317295]|[221.99245418]
728|[139.79027203]|[220.66208269]
729|[139.79027203]|[220.66208269]
730|[139.48715394]|[219.19302876]
731|[140.35924457]|[217.97259526]
732|[140.35924457]|[217.97259526]
733|[140.35924457]|[217.97259526]
734|[141.49133976]|[216.98854217]
735|[141.49133976]|[216.98854217]
736|[142.39173044]|[215.78883528]
737|[142.39173044]|[215.78883528]
738|[141.60824626]|[214.50971349]
739|[140.94756666]|[213.16305003]
740|[140.94756666]|[213.16305003]
741|[140.39780932]|[211.76742585]
742|[139.94342934]|[210.33790186]
743|[139.94342934]|[210.33790186]
744|[141.39386763]|[209.95550316]
745|[142.79642703]|[209.42368822]
746|[142.79642703]|[209.42368822]
747|[142.79642703]|[209.42368822]
748|[142.79642703]|[209.42368822]
749|[143.4384932]|[208.06805146]
750|[143.4384932]|[208.06805146]
751|[144.404169]|[206.92024039]
752|[145.33280337]|[205.74225982]
753|[145.33280337]|[205.74225982]
754|[145.83836638]|[204.33002541]
755|[145.83836638]|[204.33002541]
756|[146.52006318]|[202.99387816]
757|[146.52006318]|[202.99387816]
758|[146.52006318]|[202.99387816]
759|[147.65945657]|[202.01828464]
760|[148.09568391]|[200.58311716]
761|[148.09568391]|[200.58311716]
762|[147.97625959]|[199.08787877]
763|[147.85682962]|[197.59264084]
764|[147.73738688]|[196.09740392]
765|[147.73738688]|[196.09740392]
