|X_Positions|Y_Positions
224|[487.26104227]|[348.8646085]
225|[487.57239616]|[351.84840789]
226|[487.57239616]|[351.84840789]
227|[487.88372977]|[354.83220938]
228|[486.10625806]|[357.24894154]
229|[486.10625806]|[357.24894154]
230|[483.17350711]|[356.61729935]
231|[480.24076156]|[355.98563209]
232|[477.30802796]|[355.35390933]
233|[474.37530836]|[354.72212162]
234|[471.44260562]|[354.09025562]
235|[468.5099186]|[353.45831666]
236|[465.57724745]|[352.82630406]
237|[462.64459142]|[352.19422131]
238|[459.71194997]|[351.56207089]
239|[456.779319]|[350.9298719]
240|[453.84669763]|[350.29762832]
241|[450.91408307]|[349.66535319]
242|[447.98147345]|[349.03305515]
243|[445.04886768]|[348.40073925]
244|[442.1162659]|[347.76840488]
245|[439.18366817]|[347.13605166]
246|[436.25107538]|[346.50367558]
247|[433.31848694]|[345.87127932]
248|[430.38590171]|[345.23886814]
249|[427.45331949]|[344.60644302]
250|[424.52074232]|[343.97399451]
251|[421.58817035]|[343.34152186]
252|[418.65560308]|[342.70902745]
253|[415.72304235]|[342.07650268]
254|[412.7904895]|[341.44394141]
255|[412.7904895]|[341.44394141]
256|[412.7904895]|[341.44394141]
257|[412.7904895]|[341.44394141]
258|[412.7904895]|[341.44394141]
259|[412.7904895]|[341.44394141]
260|[412.7904895]|[341.44394141]
261|[412.7904895]|[341.44394141]
262|[412.7904895]|[341.44394141]
263|[412.7904895]|[341.44394141]
264|[412.7904895]|[341.44394141]
265|[412.7904895]|[341.44394141]
266|[412.7904895]|[341.44394141]
267|[412.7904895]|[341.44394141]
268|[412.7904895]|[341.44394141]
269|[412.7904895]|[341.44394141]
270|[412.7904895]|[341.44394141]
271|[412.7904895]|[341.44394141]
272|[412.7904895]|[341.44394141]
273|[409.85800799]|[340.81104946]
274|[406.92552685]|[340.17815581]
275|[403.99304839]|[339.54524975]
276|[401.06057233]|[338.9123326]
277|[398.1281013]|[338.27939211]
278|[395.19563658]|[337.64642237]
279|[392.26317781]|[337.01342511]
280|[389.33072526]|[336.38039899]
281|[386.39827645]|[335.74735559]
282|[383.46583041]|[335.11429932]
283|[380.53338932]|[334.48122015]
284|[377.60095205]|[333.84812323]
285|[374.66851942]|[333.21500487]
286|[371.7360932]|[332.58185683]
287|[368.80367477]|[331.94867271]
288|[365.8712653]|[331.31544706]
289|[362.93886432]|[330.68218212]
290|[360.00647183]|[330.04887784]
291|[357.07409068]|[329.41552107]
292|[354.14172219]|[328.78210569]
293|[351.20936586]|[328.14863405]
294|[348.27702178]|[327.51510567]
295|[345.34469133]|[326.88151422]
296|[342.41237773]|[326.24784479]
297|[339.48008292]|[325.6140884]
298|[336.54780929]|[324.98023401]
299|[333.61555893]|[324.34627203]
300|[330.68333108]|[323.71220592]
301|[327.75112859]|[323.07802252]
302|[324.81895283]|[322.44371556]
303|[321.88680773]|[321.80926691]
304|[318.95469347]|[321.17467574]
305|[316.02261122]|[320.53993665]
306|[313.09056102]|[319.90504956]
307|[310.15854044]|[319.27002572]
308|[307.2265502]|[318.63486178]
309|[304.29459074]|[317.99955574]
310|[301.36266894]|[317.36407596]
311|[298.43079223]|[316.72838816]
312|[295.49896588]|[316.09246816]
313|[292.56719656]|[315.45628528]
314|[289.63548871]|[314.81981919]
315|[286.70384449]|[314.18306007]
316|[283.77226535]|[313.54600144]
317|[280.84074909]|[312.90865345]
318|[277.90930127]|[312.27099079]
319|[274.97792837]|[311.63298383]
320|[272.04663822]|[310.99459675]
321|[269.11543073]|[310.35583024]
322|[266.18430958]|[309.71666764]
323|[263.25326492]|[309.07715442]
324|[260.3147959]|[308.4726713]
325|[257.36741178]|[307.91327264]
326|[254.40643434]|[307.43097337]
327|[251.42850966]|[307.06770403]
328|[248.43745177]|[306.83624626]
329|[245.43797535]|[306.78019971]
330|[242.44262865]|[306.94722699]
331|[239.47415984]|[307.38103908]
332|[237.07611345]|[309.18364096]
333|[235.32255419]|[311.61777939]
334|[234.02907728]|[314.32460733]
335|[233.02601038]|[317.15194827]
336|[233.02601038]|[317.15194827]
337|[233.02601038]|[317.15194827]
338|[232.44048394]|[320.09425328]
339|[231.85494876]|[323.03655656]
340|[231.26938105]|[325.97885336]
341|[230.68377441]|[328.92114241]
342|[230.09811837]|[331.86342163]
343|[229.51240285]|[334.80568901]
344|[228.92661936]|[337.74794285]
345|[228.34076262]|[340.69018212]
346|[227.75482221]|[343.63240472]
347|[227.16879669]|[346.57461037]
348|[226.58269331]|[349.51680051]
349|[225.99650258]|[352.45897325]
350|[225.41023257]|[355.40113019]
351|[224.82386665]|[358.34326802]
352|[224.23739902]|[361.28538558]
353|[223.6508325]|[364.22748342]
354|[223.06417515]|[367.16956315]
355|[222.47743256]|[370.11162589]
356|[221.8906071]|[373.0536721]
357|[221.30370428]|[375.99570287]
358|[220.71673437]|[378.93772026]
359|[220.12968946]|[381.87972269]
360|[219.54256901]|[384.82171004]
361|[218.95538204]|[387.76368411]
362|[218.36814164]|[390.70564752]
363|[217.78086541]|[393.64760378]
364|[217.1935578]|[396.58955378]
365|[216.60621541]|[399.53149683]
366|[216.01883199]|[402.47343169]
367|[215.43140451]|[405.41535775]
368|[214.84392313]|[408.35727305]
369|[214.30941993]|[411.30927344]
370|[213.86095084]|[414.27556329]
371|[213.51717225]|[417.25580092]
372|[213.35405937]|[420.25136333]
373|[213.29978179]|[423.25087228]
374|[213.3648692]|[426.25016614]
375|[213.56068201]|[429.24376887]
376|[213.89518927]|[432.22506136]
377|[214.36662722]|[435.18778752]
378|[214.97557913]|[438.1253337]
379|[215.7148781]|[441.03281319]
380|[216.59217013]|[443.90167337]
381|[217.59552809]|[446.72891103]
382|[218.72495725]|[449.50818967]
383|[219.97432929]|[452.23565544]
384|[222.45390753]|[453.92435071]
385|[225.34569611]|[454.72282353]
386|[228.33692545]|[454.95205491]
387|[231.33499688]|[454.84450179]
388|[234.31967639]|[454.54170113]
389|[237.29075508]|[454.12613955]
390|[240.25199009]|[453.64542422]
391|[243.20685981]|[453.12701807]
392|[246.15781656]|[452.5867827]
393|[249.10642941]|[452.0338973]
394|[252.05365957]|[451.47368808]
395|[255.00008308]|[450.90925165]
396|[257.94603949]|[450.34238233]
397|[260.89172709]|[449.77411778]
398|[263.83726179]|[449.20506126]
399|[266.7827113]|[448.63556394]
400|[269.72811751]|[448.06584277]
401|[272.67350345]|[447.49601674]
402|[275.61888093]|[446.926147]
403|[278.56425914]|[446.35628106]
404|[281.50964259]|[445.78644222]
405|[284.45503458]|[445.21664749]
406|[287.40043411]|[444.64689176]
407|[290.34584005]|[444.07716913]
408|[293.29125731]|[443.50750507]
409|[296.23668395]|[442.93788947]
410|[299.1821181]|[442.36831273]
411|[302.12755929]|[441.79877241]
412|[305.07300958]|[441.2292791]
413|[308.01846579]|[440.65981648]
414|[310.96392563]|[440.0903726]
415|[313.90938815]|[439.52094258]
416|[316.85484932]|[438.95150558]
417|[319.80031096]|[438.382071]
418|[322.74577134]|[437.81262991]
419|[325.69122453]|[437.24315163]
420|[328.69069191]|[437.18662336]
421|[328.69069191]|[437.18662336]
422|[328.69069191]|[437.18662336]
423|[328.69069191]|[437.18662336]
424|[328.69069191]|[437.18662336]
425|[328.69069191]|[437.18662336]
426|[328.69069191]|[437.18662336]
427|[328.69069191]|[437.18662336]
428|[328.69069191]|[437.18662336]
429|[328.69069191]|[437.18662336]
430|[328.69069191]|[437.18662336]
431|[328.69069191]|[437.18662336]
432|[328.69069191]|[437.18662336]
433|[328.69069191]|[437.18662336]
434|[328.69069191]|[437.18662336]
435|[328.69069191]|[437.18662336]
436|[328.69069191]|[437.18662336]
437|[328.69069191]|[437.18662336]
438|[331.63567787]|[437.7585129]
439|[331.63567787]|[437.7585129]
440|[334.57467036]|[438.36044575]
441|[334.57467036]|[438.36044575]
442|[337.50761128]|[438.99120526]
443|[340.43837507]|[439.63200445]
444|[343.36581522]|[440.2878201]
445|[346.28958651]|[440.95980334]
446|[349.20924372]|[441.64944222]
447|[351.72139019]|[440.00958854]
448|[352.59558747]|[437.13978382]
449|[352.14078146]|[434.17445897]
450|[350.90819729]|[431.4393655]
451|[349.25144394]|[428.93833205]
452|[347.36274954]|[426.60748811]
453|[345.34465737]|[424.38773498]
454|[343.25293105]|[422.23722782]
455|[341.11868543]|[420.128912]
456|[338.95962866]|[418.04601165]
457|[336.78597594]|[415.97834778]
458|[334.60368336]|[413.91980483]
459|[332.41628818]|[411.86668468]
460|[330.22585163]|[409.81680964]
461|[328.03361224]|[407.76886274]
462|[325.84031571]|[405.72204807]
463|[323.64840097]|[403.67375371]
464|[321.45886408]|[401.62291773]
465|[319.27547173]|[399.56554128]
466|[317.07495177]|[397.52649447]
467|[320.07267693]|[397.64330141]
468|[322.92372621]|[398.5768527]
469|[325.65074463]|[399.82720085]
470|[328.31629842]|[401.20372656]
471|[330.95457495]|[402.63183613]
472|[333.58113643]|[404.08137908]
473|[336.202294]|[405.54067103]
474|[338.82067362]|[407.00494156]
475|[341.43704254]|[408.47280179]
476|[344.05175903]|[409.94360351]
477|[346.66456798]|[411.41779121]
478|[349.27558717]|[412.89514655]
479|[351.88442914]|[414.37634322]
480|[354.49061461]|[415.86220906]
481|[357.09408106]|[417.3528339]
482|[359.69484872]|[418.84816249]
483|[362.29266284]|[420.34861636]
484|[364.88673591]|[421.85552874]
485|[367.47682735]|[423.36927453]
486|[370.06306891]|[424.88958851]
487|[372.64457649]|[426.41792702]
488|[375.22082372]|[427.95511609]
489|[377.79116666]|[429.50215751]
490|[380.35583389]|[431.05858998]
491|[382.91471832]|[432.62451157]
492|[385.46717478]|[434.20088907]
493|[388.01206967]|[435.78944502]
494|[390.54970705]|[437.38956894]
495|[393.08130555]|[438.99923009]
496|[395.60715775]|[440.61789332]
497|[398.12606413]|[442.24734435]
498|[400.63745574]|[443.88835385]
499|[403.14130891]|[445.54084266]
500|[405.6383692]|[447.20357833]
501|[408.12765327]|[448.87793339]
502|[410.61041999]|[450.56193737]
503|[413.08623206]|[452.25614945]
504|[415.55551072]|[453.95986976]
505|[418.01751876]|[455.6740799]
506|[420.47263922]|[457.39814009]
507|[422.91974868]|[459.13355223]
508|[425.35953928]|[460.87923887]
509|[427.79159215]|[462.6356895]
510|[430.21569651]|[464.40309382]
511|[432.62912611]|[466.18504713]
512|[435.03130471]|[467.98213867]
513|[437.42279365]|[469.7934312]
514|[439.80395412]|[471.61828046]
515|[442.17457769]|[473.45679722]
516|[444.5347086]|[475.30876431]
517|[446.88323294]|[477.17542803]
518|[449.22272185]|[479.05340343]
519|[451.55161722]|[480.94450003]
520|[453.87172723]|[482.84636479]
521|[456.17977659]|[484.76284806]
522|[458.47459285]|[486.69515714]
523|[461.45174883]|[486.32564093]
524|[463.7122579]|[484.3533076]
